h3_id,listing_count,median_price,mean_price,min_price,max_price,accommodates_mean,accommodates_median,bedrooms_mean,bedrooms_median,beds_mean,beds_median,bathrooms_mean,bathrooms_median,distance_to_center_km_mean,distance_to_center_km_median
881f058149fffff,37,900.0,896.9459459459459,390.0,1400.0,2.4594594594594597,2.0,1.027027027027027,1.0,1.3783783783783783,1.0,0.972972972972973,1.0,3.1432432432432433,3.09
881f0591a3fffff,36,1006.5,1147.7222222222222,410.0,2510.0,4.166666666666667,4.0,2.111111111111111,2.0,2.5,2.0,1.1666666666666667,1.0,5.220555555555555,5.24
881f058367fffff,36,845.5,875.0555555555555,400.0,1600.0,3.138888888888889,3.0,1.4722222222222223,1.0,1.5555555555555556,1.0,1.0138888888888888,1.0,4.345833333333333,4.365
881f058041fffff,35,1536.0,1572.4285714285713,495.0,2520.0,4.6,4.0,2.4857142857142858,3.0,2.6285714285714286,3.0,1.3571428571428572,1.5,3.042,3.06
881f058347fffff,35,939.0,1099.1142857142856,484.0,2000.0,3.1714285714285713,2.0,1.5714285714285714,1.0,1.7714285714285714,1.0,1.1,1.0,3.498285714285714,3.48
881f0591a5fffff,35,748.0,874.6285714285714,230.0,1900.0,4.114285714285714,4.0,2.4,3.0,2.7142857142857144,2.0,1.3142857142857143,1.0,6.233714285714286,6.31
881f058025fffff,34,1165.5,1268.9411764705883,515.0,2510.0,4.588235294117647,4.0,2.4411764705882355,2.5,2.5,2.5,1.2352941176470589,1.0,3.88735294117647,3.84
881f058139fffff,34,983.0,1077.764705882353,360.0,2210.0,3.7058823529411766,4.0,1.8235294117647058,2.0,2.235294117647059,2.0,1.2058823529411764,1.0,5.940294117647059,5.895
881f058001fffff,33,1305.0,1385.5151515151515,450.0,2356.0,4.090909090909091,4.0,1.7272727272727273,2.0,2.242424242424242,2.0,1.0303030303030303,1.0,3.754848484848485,3.75
881f05803dfffff,32,1723.0,1668.90625,650.0,2800.0,4.84375,5.0,2.46875,2.5,2.875,3.0,1.484375,1.5,4.6271875,4.62
881f0591a7fffff,30,1083.0,1173.7333333333333,411.0,2790.0,4.033333333333333,4.0,1.9,2.0,2.4,2.0,1.2,1.0,5.375333333333333,5.375
881f059a93fffff,30,836.0,1033.2666666666667,300.0,2800.0,3.7666666666666666,3.0,1.8,1.0,2.1666666666666665,2.0,1.0833333333333333,1.0,5.179666666666666,5.17
881f058103fffff,30,504.0,821.4333333333333,400.0,2400.0,2.033333333333333,1.0,1.1666666666666667,1.0,1.2333333333333334,1.0,0.9833333333333333,1.0,4.941999999999999,4.93
881f05813dfffff,29,1000.0,1020.8275862068965,258.0,1700.0,3.3793103448275863,4.0,1.6896551724137931,2.0,1.8620689655172413,2.0,1.0689655172413792,1.0,6.4558620689655175,6.41
881f058153fffff,28,1574.5,1601.5714285714287,720.0,2550.0,5.035714285714286,5.0,2.75,3.0,3.0714285714285716,3.0,1.2857142857142858,1.0,3.511071428571429,3.5949999999999998
881f059a9bfffff,28,1117.5,1109.392857142857,592.0,2012.0,4.678571428571429,4.0,2.4642857142857144,2.0,2.6785714285714284,2.5,1.2321428571428572,1.0,5.654285714285714,5.695
881f058035fffff,27,1179.0,1366.5185185185185,554.0,2731.0,4.592592592592593,5.0,2.111111111111111,2.0,2.3703703703703702,2.0,1.2962962962962963,1.0,5.106296296296296,5.06
881f05800dfffff,27,920.0,1039.6296296296296,600.0,2761.0,3.037037037037037,2.0,1.4444444444444444,1.0,1.6666666666666667,1.0,1.0185185185185186,1.0,3.065925925925926,3.1
881f058335fffff,26,919.5,910.2692307692307,298.0,1809.0,2.5,2.0,1.1538461538461537,1.0,1.2307692307692308,1.0,1.0192307692307692,1.0,2.6584615384615384,2.7649999999999997
881f05836dfffff,26,900.0,924.4230769230769,230.0,2500.0,3.1153846153846154,3.0,1.5769230769230769,1.0,1.9615384615384615,2.0,1.1153846153846154,1.0,5.1680769230769235,5.105
881f0591bdfffff,25,994.0,1076.92,464.0,2127.0,4.36,5.0,2.16,2.0,2.32,2.0,1.3,1.0,5.2088,5.15
881f059a97fffff,25,752.0,864.36,150.0,2700.0,2.96,2.0,1.44,1.0,1.6,1.0,1.12,1.0,5.4464,5.45
881f058327fffff,24,1079.0,1166.9166666666667,296.0,2096.0,4.125,4.0,1.9583333333333333,2.0,2.375,2.0,1.1458333333333333,1.0,3.8341666666666665,3.84
881f058345fffff,24,1002.0,1161.0833333333333,381.0,2700.0,4.041666666666667,4.0,2.0,1.5,2.5,2.0,1.2708333333333333,1.0,4.3375,4.245
881f0581c9fffff,23,1500.0,1525.7826086956522,356.0,2600.0,5.739130434782608,5.0,2.782608695652174,3.0,3.652173913043478,3.0,1.4565217391304348,1.0,5.141304347826087,5.13
881f05811bfffff,23,1266.0,1492.4782608695652,468.0,2700.0,5.130434782608695,5.0,2.652173913043478,3.0,3.1739130434782608,3.0,1.5434782608695652,1.5,4.544782608695653,4.54
881f059197fffff,23,809.0,1125.5217391304348,405.0,2515.0,4.043478260869565,4.0,1.7826086956521738,1.0,1.9565217391304348,1.0,1.108695652173913,1.0,5.133913043478261,5.12
881f05835bfffff,22,899.5,983.4090909090909,695.0,1820.0,2.6818181818181817,2.0,1.2272727272727273,1.0,1.5,1.0,1.0227272727272727,1.0,3.1599999999999997,3.17
881f058223fffff,20,1422.5,1525.3,650.0,2800.0,3.3,3.0,1.5,1.0,1.9,1.5,1.1,1.0,2.9435000000000002,2.95
881f0598dbfffff,20,1109.0,1118.55,373.0,2786.0,4.1,4.0,2.2,2.0,2.2,2.0,1.3,1.0,4.9845,4.975
881f058361fffff,20,1089.5,1184.05,437.0,2666.0,3.75,3.0,2.0,2.0,2.0,2.0,1.2,1.0,4.6655,4.8
881f0591a1fffff,19,991.0,1136.6842105263158,502.0,2774.0,4.2631578947368425,4.0,2.3684210526315788,2.0,2.789473684210526,3.0,1.3157894736842106,1.0,5.988947368421052,5.97
881f059a91fffff,19,855.0,891.9473684210526,364.0,1550.0,3.8947368421052633,3.0,1.7894736842105263,1.0,2.0526315789473686,1.0,1.3421052631578947,1.0,5.942631578947368,5.81
881f059891fffff,18,1074.0,1267.2222222222222,450.0,2795.0,3.3333333333333335,3.5,1.6111111111111112,1.0,1.9444444444444444,2.0,1.25,1.0,5.4188888888888895,5.42
